Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
GIG,Alliance Hub,Brazil - Rio De Janeiro - Galeao,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,South America,Latin America 2,South America,South America 2,South South America,Southern South America,,"GIG,",14
SDU,Medium,Brazil - Rio De Janeiro - Santos Dumont,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"SDU,",13
SSA,Medium,Brazil - Salvador,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"SSA,",13
CGH,Medium,Brazil - Sao Paulo - Congonhas,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,South America,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"CGH,",14
GRU,Alliance Hub,Brazil - Sao Paulo - Guarulhos,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,South America,Latin America 2,South America,South America 2,South South America,Southern South America,,"GRU,",14
EIS,Low,British Virgin Islands,Caribbean,Caribbean,,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,"Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,,,,,"EIS,",9
BWN,Very Low,Brunei,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,,Asia 2,Asia 2,"Zone 2 - Malaysia, Indonesia & Brunei",,,South East Asia,,,Asia 2,,"BWN,",10
SOF,Low,Bulgaria,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"SOF,",13
OUA,Very Low,Burkina Faso,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"OUA,",12
BJM,Very Low,Burundi,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"BJM,",13
REP,Low,Cambodia,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"REP,",14
DLA,Very Low,Cameroon,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"DLA,",12
YYC,Medium,Canada - Calgary,"Mainland US, Alaska & Canada",Canada & Alaska,North America,"Continental US, Alaska, Canada",Continental US & Canada,,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",North America,North America,Canada,Canada & Continental US,,"YYC,",13
YUL,Alliance Hub,Canada - Montreal,"Mainland US, Alaska & Canada",Canada & Alaska,North America,"Continental US, Alaska, Canada",Continental US & Canada,,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",North America,North America,Canada,Canada & Continental US,,"YUL,",13
YYZ,Alliance Hub,Canada - Toronto,"Mainland US, Alaska & Canada",Canada & Alaska,North America,"Continental US, Alaska, Canada",Continental US & Canada,,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",North America,North America,Canada,Canada & Continental US,,"YYZ,",13
YVR,Alliance Hub,Canada - Vancouver,"Mainland US, Alaska & Canada",Canada & Alaska,North America,"Continental US, Alaska, Canada",Continental US & Canada,,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",North America,North America,Canada,Canada & Continental US,,"YVR,",13
LPA,Low,Canary Islands,Northern Africa,Europe,,Europe,Africa,,,Europe,Europe,,Europe 3 + North Africa,Middle East/Caucasus/North/Central Africa,,,Middle East & North Africa,,"LPA,",9
SID,Low,Cape Verde,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,,Africa,"East, West and South Africa",,"SID,",10
GCM,Low,Cayman Islands,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"GCM,",14
BGF,Very Low,Central African Republic,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,,Central & Southern Africa,Africa,"East, West and South Africa",,"BGF,",11
NDJ,Very Low,Chad,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,,Central & Southern Africa,North Africa,"East, West and South Africa",,"NDJ,",11
SCL,Alliance Hub,Chile,Southern South America,South America Region 2,South of South America,Southern South America,Deep South America,,South America,"South, Latin America",South America,South America,Latin America 2,South America,South America 2,South South America,Southern South America,,"SCL,",14
PEK,Alliance Hub,China - Beijing,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 2,Asia 1,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"PEK,",15
CTU,Medium,China - Chengdu,North Asia,Asia Region 2,North Asia,Northern Asia,China,,Asia 3,Asia 1,North Asia 2,,Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"CTU,",13
CKG,Medium,China - Chongqing,North Asia,Asia Region 2,North Asia,Northern Asia,China,,Asia 4,Asia 1,North Asia 2,,Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"CKG,",13
CAN,Medium,China - Guangzhou,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 5,Asia 1,North Asia 2,,Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"CAN,",14
HGH,Medium,China - Hangzhou,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 6,Asia 1,North Asia 2,,Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"HGH,",14
KMG,Medium,China - Kunming,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 7,Asia 1,North Asia 2,,Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"KMG,",14
PVG,Alliance Hub,China - Shanghai,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 8,Asia 1,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"PVG,",15
XIY,Medium,China - Xi'an,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 9,Asia 1,North Asia 2,,Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"XIY,",14
BOG,Alliance Hub,Colombia,Northern South America,South America Region 1,North of South America,Northern South America,South America,,South America,"South, Latin America",South America,South America,Latin America 1 ,South America,South America 1,North South America,Northern South America,,"BOG,",14
HAH,Very Low,Comoros,Central/Southern Africa,,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 2 (Southern + Indian Ocean),,Central & Southern Africa,Africa,,,"HAH,",9
BZV,Very Low,Congo,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"BZV,",13
RAR,Very Low,Cook Islands,Oceania,,Others,Southwest Pacific,Other,,,"Oceania, Micronesia",South West Pacific,,,Australia/New Zealand/Oceania,,,"Australia, New Zealand & South Pacific",,"RAR,",8
